,P1,P2,P3,P4,mean,variance,ei,pi,ucb
143,2,1,1,4,7.390640104774419e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
144,2,1,1,5,4.3973145790571146e-14,1.4319765095200456,0.024775453791461774,0.04960986528649662,5.983261045450188
145,2,1,1,6,1.7116582043114275e-14,1.4319765095200456,0.02477545379146051,0.04960986528649428,5.983261045450161
146,2,1,1,7,2.876802011151765e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
147,2,1,2,1,-8.519717051486575e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
148,2,1,2,2,-4.8980695972019075e-32,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
149,2,1,2,3,-1.4940462478796044e-37,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
150,2,1,2,4,1.6381556459353448e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
151,2,1,2,5,7.390646481305922e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
152,2,1,2,6,-5.019012483566034e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
153,2,1,2,7,-4.697895094535421e-14,1.4319765095200456,0.02477545379145732,0.04960986528648878,5.983261045450097
154,2,1,3,1,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
155,2,1,3,2,-1.4419165362869348e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
156,2,1,3,3,-2.5989273063838168e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
157,2,1,3,4,4.510256777295057e-42,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
158,2,1,3,5,-4.665316742641351e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
159,2,1,3,6,-4.6978950945417974e-14,1.4319765095200456,0.02477545379145732,0.04960986528648878,5.983261045450097
160,2,1,3,7,-4.584303951414401e-08,1.4319765095200432,0.024775451517192584,0.04960986136003933,5.983260999607098
161,2,1,4,1,-8.37172718192076e-08,1.4319765095200432,0.02477544963825723,0.04960985811611404,5.983260961732865
162,2,1,4,2,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
163,2,1,4,3,-8.519715557416871e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
164,2,1,4,4,-5.353209305581035e-58,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
165,2,1,4,5,-1.4231515550019705e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
166,2,1,4,6,-7.895830876320911e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
167,2,1,4,7,-4.6978950945417974e-14,1.4319765095200456,0.02477545379145732,0.04960986528648878,5.983261045450097
168,2,1,5,1,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
169,2,1,5,2,-1.4419165362869348e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
170,2,1,5,3,-2.5989268005170517e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
171,2,1,5,4,-5.35319639874844e-58,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
172,2,1,5,5,-7.002985336072646e-53,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
173,2,1,5,6,-1.4231515550019705e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
174,2,1,5,7,-4.665330063632873e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
175,2,2,1,1,-1.8373421703172975e-26,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
176,2,2,1,2,-8.289282379138394e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
177,2,2,1,3,-3.546978071927665e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
178,2,2,1,4,4.053234741854645e-14,1.4319765095200456,0.024775453791461663,0.049609865286496316,5.983261045450185
179,2,2,1,5,6.014594039092205e-08,1.4319765095200407,0.024775456775291638,0.04960987043798877,5.983261105596074
