P1,P2,P3,P4,mean,variance,contained_before,ei,pi,ucb
1,3,6,5,-0.01242084062147556,0.9999914728738951,False,0.0007135287762523876,0.002407395263220516,1.947570802777127
1,3,6,6,-0.010701779086353209,0.999989135568776,False,0.0007176695293702297,0.0024202954219467907,1.9492875737421282
1,3,6,7,-0.01071791829300947,0.9999823755118721,False,0.000717604995604219,0.002420102016585746,1.9492648096325218
1,4,1,1,0.5437474193767476,0.9371916011409751,False,0.0031732932334403788,0.009704238264485436,2.441197090631079
1,4,1,2,0.6953402033783145,0.8582734286064649,False,0.0036060131018186906,0.011331525022108048,2.5111439381840883
1,4,1,3,0.5077178897107657,0.7496120632407873,False,0.0010611756318000681,0.0039611152800754544,2.2046886325775388
1,4,1,4,1.265797156684704,0.546572351750132,False,0.004993341182059168,0.01856603710529402,2.7148355780122087
1,4,1,5,1.7029422022587342,0.6006430206772544,False,0.026935360970476177,0.07718979639010297,3.221964989524857
1,4,1,6,0.8815376173659172,0.8288030074588872,False,0.005653757971255224,0.01722745504440155,2.665894541709828
1,4,1,7,0.16551186459438771,0.9898904905809784,False,0.001222158565787966,0.003969197668839167,2.115579378455353
1,4,2,1,0.866540806485528,0.830346575844998,False,0.005435572029216018,0.016618923397762754,2.652558557171714
1,4,2,2,1.0028214087549638,0.6315374694407201,False,0.003176308595898455,0.011605219252792962,2.5604203117474738
1,4,2,3,0.12877677288061523,0.6205425363380267,False,6.839141577102807e-05,0.00033751270812894886,1.6727574099341256
1,4,2,4,0.40193185832353945,0.7496132337253782,False,0.0007103858776228043,0.0027385456523776465,2.098903926060488
1,4,2,5,0.919725614260211,0.8482452207304083,False,0.006853502465927176,0.02023750651481452,2.724890105368414
1,4,2,6,0.47874186421580056,0.9358185536679188,False,0.002580581962277159,0.008053036779066295,2.3748010815849936
1,4,2,7,0.02327001538372113,0.993843095799237,False,0.0007791731100735061,0.00261854968668639,1.9772269332358903
1,4,3,1,0.280484014306268,0.9311050673955077,False,0.0013334787529603234,0.004421715513380347,2.171762213542589
1,4,3,2,0.43156539751117207,0.8615936162272277,False,0.001547934633886406,0.005251033961297359,2.250877914946953
1,4,3,3,-0.11229961258615255,0.8526571878435578,False,0.0001973995879615848,0.0007855937369970152,1.697553379460387
1,4,3,4,-0.13599068013656612,0.9341625269265444,False,0.00031517713403348205,0.0011647126590977228,1.7583901589348736
1,4,3,5,0.124659288977212,0.9892545832660042,False,0.001066158759005481,0.003502507462587304,2.0741003388873347
1,4,3,6,0.02278128904375068,0.9943056723025407,False,0.0007797707923479563,0.0026198401605272907,1.9771928809857962
1,4,3,7,-0.12241959829796824,0.9929819140391487,False,0.00047080000564790007,0.0016437622745136965,1.8306905678147356
1,4,4,1,-1.0261000742928612,0.8616791138846973,False,3.71530951272395e-06,1.821512029636587e-05,0.7933027079132817
1,4,4,2,-0.5666490978734422,0.9435032695111438,False,6.32454631294575e-05,0.0002574168852342216,1.337179192743653
1,4,4,3,-0.18595372077686578,0.9897291231766764,False,0.0003693480360226582,0.0013140881626095434,1.7639548410781563
1,4,4,4,-0.07467990333772902,0.9964676094924296,False,0.0005663691555065648,0.001947637383282547,1.8818552914967819
1,4,4,5,-0.01644439780769577,0.999706531115692,False,0.000702846961053322,0.0023744057333175994,1.9432679815822091
